Month,Eastbound OTP,Westbound OTP
January 2022,0.80,0.72
February 2022,0.82,0.74
March 2022,0.85,0.72
April 2022,0.88,0.74
May 2022,0.88,0.75
June 2022,0.86,0.75
July 2022,0.81,0.69
August 2022,0.85,0.70
September 2022,0.84,0.70
October 2022,0.83,0.69
November 2022,0.85,0.72
December 2022,0.82,0.72
