FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area – 5%File,Public Use Microdata Area - 1% File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Place (State FIPS + Place FIPS),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent
6001406202,"Census Tract 4062.02, Alameda County, California",ACSSF,ca,140,0,2885,,,,,6,1,,,406202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406202,Census Tract 4062.02,,,,4947,935,638,227,700,0,2017,430,4947,376,420,303,159,367,955,922,367,403,366,131,178,1316,98,46,97,52,128,12,73,75,49,177,148,94,104,26,62,75,51591,1950,1206,1047,159,386,0,10,87,162,99,1162,320,288,1291
6001406300,"Census Tract 4063, Alameda County, California",ACSSF,ca,140,0,2886,,,,,6,1,,,406300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406300,Census Tract 4063,,,,4557,816,956,16,911,76,1441,341,4557,293,267,387,218,257,897,876,390,388,352,198,34,1344,44,200,31,88,31,45,67,59,104,60,86,153,69,49,122,136,50259,2311,1421,1185,236,624,0,18,34,5,209,797,234,230,1338
6001406400,"Census Tract 4064, Alameda County, California",ACSSF,ca,140,0,2887,,,,,6,1,,,406400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406400,Census Tract 4064,,,,2559,801,451,16,439,62,574,216,2559,148,162,135,83,148,297,333,251,213,453,198,138,818,36,23,31,9,32,217,18,10,0,39,30,91,64,60,54,104,58125,988,666,485,181,176,0,18,26,6,96,490,121,240,1696
6001406500,"Census Tract 4065, Alameda County, California",ACSSF,ca,140,0,2888,,,,,6,1,,,406500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406500,Census Tract 4065,,,,6342,1267,996,244,1275,231,1657,672,6342,282,302,608,364,432,1058,886,863,666,734,73,74,1882,162,20,66,53,42,203,68,106,96,99,188,162,232,115,207,63,60774,2904,2085,1921,164,494,11,0,0,36,278,1307,445,295,1624
6001406601,"Census Tract 4066.01, Alameda County, California",ACSSF,ca,140,0,2889,,,,,6,1,,,406601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406601,Census Tract 4066.01,,,,4740,1098,1084,135,959,0,867,597,4740,310,205,273,27,257,1097,655,625,645,437,140,69,1817,131,20,88,110,49,95,34,170,12,141,152,266,160,132,140,117,64271,2371,1687,1527,160,239,11,0,0,43,391,1137,295,308,1597
6001406602,"Census Tract 4066.02, Alameda County, California",ACSSF,ca,140,0,2890,,,,,6,1,,,406602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406602,Census Tract 4066.02,,,,2800,439,614,37,890,0,509,311,2800,184,239,155,91,146,490,445,312,325,244,98,71,973,7,73,26,1,95,52,53,87,49,92,32,126,41,26,113,100,51813,1234,749,594,155,361,0,0,21,30,73,672,236,195,1460
6001406700,"Census Tract 4067, Alameda County, California",ACSSF,ca,140,0,2891,,,,,6,1,,,406700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406700,Census Tract 4067,,,,5571,2898,536,1,1074,261,215,586,5571,479,188,91,72,507,454,1006,819,940,619,290,106,2100,26,63,16,15,20,53,36,12,51,136,85,279,206,253,216,633,129519,3203,2023,1733,290,376,0,88,44,32,640,609,122,139,1659
6001407101,"Census Tract 4071.01, Alameda County, California",ACSSF,ca,140,0,2895,,,,,6,1,,,407101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001407101,Census Tract 4071.01,,,,3813,461,604,37,1096,0,1462,153,3813,246,183,351,85,362,634,789,443,301,363,43,13,1078,157,33,30,32,139,13,84,128,34,66,91,46,61,53,60,51,43496,1623,1169,899,270,207,0,10,174,0,63,638,177,267,1573
6001407200,"Census Tract 4072, Alameda County, California",ACSSF,ca,140,0,2897,,,,,6,1,,,407200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001407200,Census Tract 4072,,,,6820,1600,399,82,804,2,3436,497,6820,445,594,522,256,454,1420,1125,829,645,292,184,54,1896,121,136,53,116,117,39,46,168,31,241,217,218,73,140,110,70,53786,3245,1900,1644,256,824,0,60,144,72,245,1440,246,506,1421
6001407300,"Census Tract 4073, Alameda County, California",ACSSF,ca,140,0,2898,,,,,6,1,,,407300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001407300,Census Tract 4073,,,,2484,721,139,4,142,0,1386,92,2484,95,87,187,137,257,577,364,417,180,69,109,5,670,12,32,17,31,44,14,40,70,13,47,49,91,75,36,72,27,63875,1189,877,629,248,189,0,0,38,10,75,446,80,202,2077
6001407400,"Census Tract 4074, Alameda County, California",ACSSF,ca,140,0,2899,,,,,6,1,,,407400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001407400,Census Tract 4074,,,,4249,574,1479,203,373,35,1359,226,4249,233,240,455,175,417,430,704,487,515,282,248,63,1230,268,50,87,8,18,33,61,33,43,92,102,195,154,37,14,35,51029,1582,1228,1133,95,115,12,0,60,17,150,877,253,321,1199
6001408800,"Census Tract 4088, Alameda County, California",ACSSF,ca,140,0,2913,,,,,6,1,,,408800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001408800,Census Tract 4088,,,,7688,404,2924,38,336,159,2732,1095,7688,895,749,704,268,718,1660,829,577,767,403,108,10,2302,144,268,220,234,198,167,86,77,128,123,155,250,26,84,142,0,33507,3028,2229,1864,365,323,0,123,140,134,79,1712,601,433,923
6001427100,"Census Tract 4271, Alameda County, California",ACSSF,ca,140,0,2978,,,,,6,1,,,427100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427100,Census Tract 4271,,,,4389,2637,32,5,946,6,415,348,4389,305,214,391,144,109,329,792,685,652,454,179,135,1435,24,30,9,0,0,43,0,58,31,9,57,140,102,101,220,611,170352,2048,1174,1023,151,278,18,22,73,0,483,401,68,45,2425
6001427200,"Census Tract 4272, Alameda County, California",ACSSF,ca,140,0,2979,,,,,6,1,,,427200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427200,Census Tract 4272,,,,4418,1749,190,0,1771,49,218,441,4418,301,271,245,122,327,532,857,810,433,323,101,96,1582,48,25,46,49,119,66,61,58,64,55,76,167,84,163,224,277,88036,2451,1398,1358,40,294,15,64,166,18,496,1021,328,119,1714
6001427300,"Census Tract 4273, Alameda County, California",ACSSF,ca,140,0,2980,,,,,6,1,,,427300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427300,Census Tract 4273,,,,5036,1914,764,48,1799,63,98,350,5036,211,352,486,91,287,880,754,638,440,623,239,35,2014,62,107,19,61,27,42,60,76,51,113,208,149,191,134,186,528,106389,2420,1495,1367,128,298,33,94,77,7,416,931,288,213,1629
6001427600,"Census Tract 4276, Alameda County, California",ACSSF,ca,140,0,2981,,,,,6,1,,,427600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427600,Census Tract 4276,,,,4861,1611,524,4,1913,0,443,366,4861,344,237,90,214,371,1227,650,570,598,344,108,108,1943,189,54,19,8,72,123,40,45,13,120,196,374,204,156,141,189,83781,2575,1784,1595,189,284,25,34,92,86,270,1648,396,464,2184
6001427700,"Census Tract 4277, Alameda County, California",ACSSF,ca,140,0,2982,,,,,6,1,,,427700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427700,Census Tract 4277,,,,5139,3188,124,41,1130,0,247,409,5139,258,305,204,92,239,823,1074,828,594,597,34,91,2170,76,188,11,45,14,103,44,26,49,32,266,109,194,98,353,562,117885,3070,1771,1533,238,442,28,11,188,0,630,1285,272,273,2147
6001427800,"Census Tract 4278, Alameda County, California",ACSSF,ca,140,0,2983,,,,,6,1,,,427800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427800,Census Tract 4278,,,,4268,2144,263,6,1104,14,104,633,4268,235,294,120,113,248,653,717,662,576,405,180,65,1886,52,32,12,179,17,36,59,107,68,112,93,239,53,191,189,447,95417,2414,1450,1238,212,465,0,58,22,0,419,1161,334,242,1808
6001427900,"Census Tract 4279, Alameda County, California",ACSSF,ca,140,0,2984,,,,,6,1,,,427900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001427900,Census Tract 4279,,,,4893,2809,11,7,1408,0,112,546,4893,283,157,216,255,191,860,652,723,813,552,91,100,2091,96,0,53,125,28,20,9,90,20,130,110,272,283,254,114,487,101911,2782,1603,1375,228,574,11,77,103,0,414,1528,339,347,2095
6001428000,"Census Tract 4280, Alameda County, California",ACSSF,ca,140,0,2985,,,,,6,1,,,428000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428000,Census Tract 4280,,,,2975,1050,220,15,826,0,296,568,2975,307,108,208,99,96,699,425,456,213,247,78,39,1341,18,60,0,57,17,23,84,71,12,54,157,216,218,68,189,97,86134,1458,848,798,50,335,0,6,69,23,177,1164,338,259,1934
6001428100,"Census Tract 4281, Alameda County, California",ACSSF,ca,140,0,2986,,,,,6,1,,,428100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428100,Census Tract 4281,,,,4812,2603,325,0,1177,19,145,543,4812,317,379,392,99,320,667,573,838,423,503,142,159,1885,42,69,18,42,68,28,10,26,54,101,140,207,188,177,284,431,121250,2339,1324,1198,126,467,19,21,44,42,422,979,189,146,1888
6001428200,"Census Tract 4282, Alameda County, California",ACSSF,ca,140,0,2987,,,,,6,1,,,428200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428200,Census Tract 4282,,,,6947,3709,312,11,1622,15,578,700,6947,346,440,470,249,411,721,886,953,811,1108,263,289,2774,29,14,70,114,188,66,165,118,28,222,166,229,193,210,351,611,92212,3211,1999,1760,239,485,0,42,134,16,535,1111,234,309,2315
6001428400,"Census Tract 4284, Alameda County, California",ACSSF,ca,140,0,2990,,,,,6,1,,,428400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428400,Census Tract 4284,,,,4593,2002,477,127,891,107,205,784,4593,234,269,183,163,219,985,669,714,433,405,180,139,1880,180,21,38,16,38,91,30,103,38,107,153,241,221,156,214,233,86822,2405,1501,1337,164,300,27,38,23,0,516,1346,356,271,2085
6001428500,"Census Tract 4285, Alameda County, California",ACSSF,ca,140,0,2991,,,,,6,1,,,428500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428500,Census Tract 4285,,,,3154,1487,204,34,926,9,188,306,3154,171,90,179,36,168,417,833,358,273,386,126,117,1454,47,31,35,49,33,25,10,15,32,11,61,214,202,105,180,404,114688,1717,820,776,44,376,20,32,104,12,353,1013,293,69,2526
6001428600,"Census Tract 4286, Alameda County, California",ACSSF,ca,140,0,2992,,,,,6,1,,,428600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428600,Census Tract 4286,,,,3475,1656,205,62,989,0,173,390,3475,182,182,129,39,150,486,487,383,622,478,199,138,1643,40,23,10,38,36,9,28,8,133,72,135,231,156,124,233,367,104049,1954,972,910,62,288,19,58,55,21,541,942,200,243,2517
6001428700,"Census Tract 4287, Alameda County, California",ACSSF,ca,140,0,2993,,,,,6,1,,,428700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001428700,Census Tract 4287,,,,4628,1308,664,28,1835,77,332,384,4628,490,328,365,147,549,611,726,485,475,277,68,107,1418,138,112,67,6,53,31,19,49,8,53,98,91,38,38,144,473,95395,1992,1218,1058,160,200,5,102,51,32,384,741,136,155,1087
6001982000,"Census Tract 9820, Alameda County, California",ACSSF,ca,140,0,3193,,,,,6,1,,,982000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001982000,Census Tract 9820,,,,48,26,6,2,14,0,0,0,48,0,0,0,0,0,5,8,0,13,18,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,18,5,2,10,122411,33,0,0,0,23,0,0,6,0,4,0,0,0,
6001983200,"Census Tract 9832, Alameda County, California",ACSSF,ca,140,0,3195,,,,,6,1,,,983200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001983200,Census Tract 9832,,,,755,455,84,0,161,2,32,21,755,8,7,10,0,5,174,225,158,62,72,34,0,462,0,19,0,6,7,0,0,5,0,0,10,43,23,30,171,148,168173,596,148,123,25,159,0,0,23,11,255,95,8,0,3331
