FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area – 5%File,Public Use Microdata Area - 1% File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Place (State FIPS + Place FIPS),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent
6001402900,"Census Tract 4029, Alameda County, California",ACSSF,ca,140,0,2843,,,,,6,1,,,402900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402900,Census Tract 4029,,,,1638,426,291,3,742,0,100,76,1638,7,44,5,0,117,573,257,56,94,216,149,120,1025,170,159,42,107,4,50,35,28,0,58,53,83,37,66,96,37,33523,789,132,120,12,400,0,19,96,0,142,1025,228,222,1201
6001403000,"Census Tract 4030, Alameda County, California",ACSSF,ca,140,0,2844,,,,,6,1,,,403000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403000,Census Tract 4030,,,,2907,239,43,10,2373,73,37,132,2907,27,75,29,77,93,360,338,377,343,469,496,223,1510,257,218,119,118,116,34,0,0,53,74,86,112,77,58,88,100,27774,1010,398,346,52,247,0,0,258,0,107,920,252,148,572
6001403100,"Census Tract 4031, Alameda County, California",ACSSF,ca,140,0,2845,,,,,6,1,,,403100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403100,Census Tract 4031,,,,2054,774,416,0,620,13,116,115,2054,83,28,21,0,293,558,342,283,218,161,67,0,913,67,76,57,12,7,14,8,10,22,9,43,30,96,143,76,243,125688,1106,325,309,16,509,0,0,55,10,207,656,124,138,2724
6001403301,"Census Tract 4033.01, Alameda County, California",ACSSF,ca,140,0,2846,,,,,6,1,,,403301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403301,Census Tract 4033.01,,,,1950,353,47,91,1230,0,79,150,1950,0,118,0,60,185,424,138,69,542,154,130,130,783,13,206,115,24,0,45,98,0,0,36,0,36,66,99,25,20,32788,1057,520,376,144,291,0,0,164,0,82,698,141,303,1813
6001403302,"Census Tract 4033.02, Alameda County, California",ACSSF,ca,140,0,2847,,,,,6,1,,,403302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403302,Census Tract 4033.02,,,,2279,1124,92,53,593,0,46,371,2279,47,46,31,13,110,818,654,388,84,88,0,0,1414,13,59,0,31,45,46,35,13,45,13,47,112,108,149,190,508,138750,1870,537,513,24,631,99,55,278,31,239,807,123,44,3003
6001403401,"Census Tract 4034.01, Alameda County, California",ACSSF,ca,140,0,2848,,,,,6,1,,,403401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403401,Census Tract 4034.01,,,,2882,1375,449,9,742,21,108,178,2882,95,29,80,0,78,756,365,285,292,380,249,273,2062,122,290,18,115,55,115,31,44,11,111,182,227,180,117,205,239,70135,1614,555,480,75,519,15,64,225,0,236,1767,582,286,1435
6001403402,"Census Tract 4034.02, Alameda County, California",ACSSF,ca,140,0,2849,,,,,6,1,,,403402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403402,Census Tract 4034.02,,,,1197,513,217,0,258,43,0,166,1197,71,0,0,0,67,395,321,182,74,87,0,0,791,0,0,15,110,21,0,116,17,26,38,45,112,35,41,102,113,80436,974,230,133,97,445,0,27,148,0,124,791,245,75,1634
6001403501,"Census Tract 4035.01, Alameda County, California",ACSSF,ca,140,0,2850,,,,,6,1,,,403501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403501,Census Tract 4035.01,,,,4655,1831,949,39,1210,65,83,478,4655,134,31,77,36,273,1318,927,441,500,502,275,141,2592,204,102,148,159,199,104,14,34,21,212,124,202,342,82,244,401,65909,2898,1337,1146,191,642,49,148,244,103,375,2382,673,579,1543
6001403502,"Census Tract 4035.02, Alameda County, California",ACSSF,ca,140,0,2851,,,,,6,1,,,403502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403502,Census Tract 4035.02,,,,2008,1005,451,0,229,0,89,234,2008,31,42,86,0,173,609,330,328,168,113,119,9,1176,66,35,48,58,15,63,68,0,0,77,125,82,86,68,190,195,84318,1280,409,367,42,477,27,28,128,14,197,983,161,212,1873
6001403701,"Census Tract 4037.01, Alameda County, California",ACSSF,ca,140,0,2853,,,,,6,1,,,403701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403701,Census Tract 4037.01,,,,3025,1470,633,0,504,0,229,189,3025,120,17,13,15,209,969,473,296,328,287,102,196,1825,62,65,39,63,18,17,55,44,25,170,280,169,204,184,257,173,82009,2010,745,708,37,448,18,111,239,1,448,1600,177,515,2028
