Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
6001402900,"Census Tract 4029, Alameda County, California",ACSSF,ca,140,0,2843,,,,,6,1,,,402900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402900,Census Tract 4029,,,,1638,426,291,3,742,0,100,76,26.01,17.77,0.18,45.3,0,6.11,4.64,1638,7,44,5,0,117,573,257,56,94,216,149,120,0.43,2.69,0.31,0,7.14,34.98,15.69,3.42,5.74,13.19,9.1,7.33,1025,170,159,42,107,4,50,35,28,0,58,53,83,37,66,96,37,16.59,15.51,4.1,10.44,0.39,4.88,3.41,2.73,0,5.66,5.17,8.1,3.61,6.44,9.37,3.61,789,132,120,12,400,0,19,96,0,142,16.73,15.21,1.52,50.7,0,2.41,12.17,0,18
6001403000,"Census Tract 4030, Alameda County, California",ACSSF,ca,140,0,2844,,,,,6,1,,,403000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403000,Census Tract 4030,,,,2907,239,43,10,2373,73,37,132,8.22,1.48,0.34,81.63,2.51,1.27,4.54,2907,27,75,29,77,93,360,338,377,343,469,496,223,0.93,2.58,1,2.65,3.2,12.38,11.63,12.97,11.8,16.13,17.06,7.67,1510,257,218,119,118,116,34,0,0,53,74,86,112,77,58,88,100,17.02,14.44,7.88,7.81,7.68,2.25,0,0,3.51,4.9,5.7,7.42,5.1,3.84,5.83,6.62,1010,398,346,52,247,0,0,258,0,107,39.41,34.26,5.15,24.46,0,0,25.54,0,10.59
6001403100,"Census Tract 4031, Alameda County, California",ACSSF,ca,140,0,2845,,,,,6,1,,,403100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403100,Census Tract 4031,,,,2054,774,416,0,620,13,116,115,37.68,20.25,0,30.19,0.63,5.65,5.6,2054,83,28,21,0,293,558,342,283,218,161,67,0,4.04,1.36,1.02,0,14.26,27.17,16.65,13.78,10.61,7.84,3.26,0,913,67,76,57,12,7,14,8,10,22,9,43,30,96,143,76,243,7.34,8.32,6.24,1.31,0.77,1.53,0.88,1.1,2.41,0.99,4.71,3.29,10.51,15.66,8.32,26.62,1106,325,309,16,509,0,0,55,10,207,29.39,27.94,1.45,46.02,0,0,4.97,0.9,18.72
6001403301,"Census Tract 4033.01, Alameda County, California",ACSSF,ca,140,0,2846,,,,,6,1,,,403301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403301,Census Tract 4033.01,,,,1950,353,47,91,1230,0,79,150,18.1,2.41,4.67,63.08,0,4.05,7.69,1950,0,118,0,60,185,424,138,69,542,154,130,130,0,6.05,0,3.08,9.49,21.74,7.08,3.54,27.79,7.9,6.67,6.67,783,13,206,115,24,0,45,98,0,0,36,0,36,66,99,25,20,1.66,26.31,14.69,3.07,0,5.75,12.52,0,0,4.6,0,4.6,8.43,12.64,3.19,2.55,1057,520,376,144,291,0,0,164,0,82,49.2,35.57,13.62,27.53,0,0,15.52,0,7.76
6001403302,"Census Tract 4033.02, Alameda County, California",ACSSF,ca,140,0,2847,,,,,6,1,,,403302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403302,Census Tract 4033.02,,,,2279,1124,92,53,593,0,46,371,49.32,4.04,2.33,26.02,0,2.02,16.28,2279,47,46,31,13,110,818,654,388,84,88,0,0,2.06,2.02,1.36,0.57,4.83,35.89,28.7,17.03,3.69,3.86,0,0,1414,13,59,0,31,45,46,35,13,45,13,47,112,108,149,190,508,0.92,4.17,0,2.19,3.18,3.25,2.48,0.92,3.18,0.92,3.32,7.92,7.64,10.54,13.44,35.93,1870,537,513,24,631,99,55,278,31,239,28.72,27.43,1.28,33.74,5.29,2.94,14.87,1.66,12.78
6001403401,"Census Tract 4034.01, Alameda County, California",ACSSF,ca,140,0,2848,,,,,6,1,,,403401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403401,Census Tract 4034.01,,,,2882,1375,449,9,742,21,108,178,47.71,15.58,0.31,25.75,0.73,3.75,6.18,2882,95,29,80,0,78,756,365,285,292,380,249,273,3.3,1.01,2.78,0,2.71,26.23,12.66,9.89,10.13,13.19,8.64,9.47,2062,122,290,18,115,55,115,31,44,11,111,182,227,180,117,205,239,5.92,14.06,0.87,5.58,2.67,5.58,1.5,2.13,0.53,5.38,8.83,11.01,8.73,5.67,9.94,11.59,1614,555,480,75,519,15,64,225,0,236,34.39,29.74,4.65,32.16,0.93,3.97,13.94,0,14.62
6001403402,"Census Tract 4034.02, Alameda County, California",ACSSF,ca,140,0,2849,,,,,6,1,,,403402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403402,Census Tract 4034.02,,,,1197,513,217,0,258,43,0,166,42.86,18.13,0,21.55,3.59,0,13.87,1197,71,0,0,0,67,395,321,182,74,87,0,0,5.93,0,0,0,5.6,33,26.82,15.2,6.18,7.27,0,0,791,0,0,15,110,21,0,116,17,26,38,45,112,35,41,102,113,0,0,1.9,13.91,2.65,0,14.66,2.15,3.29,4.8,5.69,14.16,4.42,5.18,12.9,14.29,974,230,133,97,445,0,27,148,0,124,23.61,13.66,9.96,45.69,0,2.77,15.2,0,12.73
6001403501,"Census Tract 4035.01, Alameda County, California",ACSSF,ca,140,0,2850,,,,,6,1,,,403501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403501,Census Tract 4035.01,,,,4655,1831,949,39,1210,65,83,478,39.33,20.39,0.84,25.99,1.4,1.78,10.27,4655,134,31,77,36,273,1318,927,441,500,502,275,141,2.88,0.67,1.65,0.77,5.86,28.31,19.91,9.47,10.74,10.78,5.91,3.03,2592,204,102,148,159,199,104,14,34,21,212,124,202,342,82,244,401,7.87,3.94,5.71,6.13,7.68,4.01,0.54,1.31,0.81,8.18,4.78,7.79,13.19,3.16,9.41,15.47,2898,1337,1146,191,642,49,148,244,103,375,46.14,39.54,6.59,22.15,1.69,5.11,8.42,3.55,12.94
6001403502,"Census Tract 4035.02, Alameda County, California",ACSSF,ca,140,0,2851,,,,,6,1,,,403502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403502,Census Tract 4035.02,,,,2008,1005,451,0,229,0,89,234,50.05,22.46,0,11.4,0,4.43,11.65,2008,31,42,86,0,173,609,330,328,168,113,119,9,1.54,2.09,4.28,0,8.62,30.33,16.43,16.33,8.37,5.63,5.93,0.45,1176,66,35,48,58,15,63,68,0,0,77,125,82,86,68,190,195,5.61,2.98,4.08,4.93,1.28,5.36,5.78,0,0,6.55,10.63,6.97,7.31,5.78,16.16,16.58,1280,409,367,42,477,27,28,128,14,197,31.95,28.67,3.28,37.27,2.11,2.19,10,1.09,15.39
6001403701,"Census Tract 4037.01, Alameda County, California",ACSSF,ca,140,0,2853,,,,,6,1,,,403701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001403701,Census Tract 4037.01,,,,3025,1470,633,0,504,0,229,189,48.6,20.93,0,16.66,0,7.57,6.25,3025,120,17,13,15,209,969,473,296,328,287,102,196,3.97,0.56,0.43,0.5,6.91,32.03,15.64,9.79,10.84,9.49,3.37,6.48,1825,62,65,39,63,18,17,55,44,25,170,280,169,204,184,257,173,3.4,3.56,2.14,3.45,0.99,0.93,3.01,2.41,1.37,9.32,15.34,9.26,11.18,10.08,14.08,9.48,2010,745,708,37,448,18,111,239,1,448,37.06,35.22,1.84,22.29,0.9,5.52,11.89,0.05,22.29
