,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,stop_id,stop_name,stop_code,zone_id,2/12/23 14:59,02/15/2023 19:35:55,02/24/2023 14:41:57,02/25/2023 14:07:55,02/25/2023 16:27:52,02/25/2023 18:01:03,03/03/2023 13:06:23,03/03/2023 16:06:44,03/04/2023 10:45:31,03/04/2023 14:11:11,03/06/2023 09:33:33,03/06/2023 14:23:30,03/10/2023 14:54:38,03/10/2023 17:21:25,03/12/2023 13:13:02,03/12/2023 17:20:22,03/16/2023 13:01:29,03/16/2023 17:46:03
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2490,Broadway & 25th St,59522,E,329.0,130.5,325.5,245.66666666666663,190.3333333333333,235.3333333333333,157.0,921.0,37.0,224.5,252.5,277.0,258.0,125.75,264.5,150.5,342.6666666666667,303.3333333333333
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2491,Broadway & 27th St,50639,E,327.0,130.5,325.5,237.66666666666663,189.3333333333333,241.3333333333333,157.0,921.0,44.0,198.5,252.5,277.0,321.5,125.75,281.5,144.5,342.6666666666667,303.3333333333333
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2492,Broadway & 28th St,56567,E,334.0,130.5,325.5,238.66666666666663,198.3333333333333,248.3333333333333,157.0,921.0,53.0,224.5,252.5,277.0,321.5,125.75,252.5,163.0,342.6666666666667,303.3333333333333
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2496,Broadway & 40th St,56655,E,340.3333333,130.5,266.0,201.66666666666663,113.0,188.3333333333333,170.0,1059.0,384.0,167.5,209.0,277.0,321.5,125.75,188.5,120.5,376.75,283.75
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2507,Broadway & Grand Av,55771,E,335.0,130.5,325.5,277.6666666666667,140.66666666666666,239.3333333333333,157.0,921.0,56.0,280.5,252.5,277.0,258.0,43.0,301.5,167.5,342.6666666666667,303.3333333333333
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2509,Broadway & Piedmont Av,59552,E,378.0,130.5,325.5,285.6666666666667,181.3333333333333,256.3333333333333,170.0,1059.0,41.0,234.5,252.5,277.0,321.5,125.75,264.5,160.5,342.6666666666667,303.3333333333333
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2542,College Av & Broadway,53311,E,363.6666667,130.5,266.0,223.66666666666663,153.66666666666666,232.3333333333333,170.0,1059.0,222.0,169.5,209.0,277.0,321.5,125.75,197.5,92.0,376.75,484.8
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2547,College Av & Lawton Av,56969,E,256.6666667,130.5,266.0,0.0,167.66666666666666,211.66666666666663,170.0,1059.0,281.0,0.0,209.0,277.0,328.6666666666667,125.75,198.5,64.5,376.75,484.8
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2548,College Av & Manila Av,55644,E,303.6666667,130.5,266.0,202.66666666666663,171.0,268.3333333333333,170.0,1059.0,275.5,230.5,209.0,277.0,321.5,125.75,203.5,75.5,376.75,484.8
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2826,Fruitvale Av & E 9th St,58058,E,157.0,527.0,0.0,313.0,160.66666666666666,202.0,306.0,202.0,134.33333333333334,197.3333333333333,296.0,0.0,0.0,52.0,117.75,198.66666666666663,50.0,217.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2844,Fruitvale BART,51333,E,0.0,634.3333333333334,140.0,0.0,47.0,0.0,201.66666666666663,695.6666666666666,0.0,0.0,643.6666666666666,320.5,197.5,202.8333333333333,0.0,0.0,250.5,561.4285714285714
